molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,PIC50
CHEMBL3895005,C[C@@H]1CN(Cc2ccccc2)c2cnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000004,1.0,3.0,6.627087997029894
CHEMBL3943761,C[C@@H]1CN(Cc2ccccc2)c2ncccc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000004,1.0,3.0,7.508638306165727
CHEMBL3915799,C[C@@H]1CN(Cc2ccccc2)c2nc(Cl)ccc2[C@H](C)N1C(=O)NCc1ccccc1,active,434.9710000000002,5.4165000000000045,1.0,3.0,7.443697499232712
CHEMBL3934795,C[C@@H]1CN(Cc2ccccc2)c2ncc(Cl)cc2[C@H](C)N1C(=O)NCc1ccccc1,active,434.9710000000002,5.4165000000000045,1.0,3.0,7.167491087293763
CHEMBL3906825,C[C@@H]1CN(Cc2ccccc2)c2nc(F)ccc2[C@H](C)N1C(=O)NCc1ccccc1,active,418.51600000000013,4.902200000000004,1.0,3.0,8.221848749616356
CHEMBL3925915,C[C@@H]1CN(Cc2ccccc2)c2ncc(F)cc2[C@H](C)N1C(=O)NCc1ccccc1,active,418.51600000000013,4.902200000000004,1.0,3.0,7.022276394711152
CHEMBL3897825,Cc1ccc2c(n1)N(Cc1ccccc1)C[C@@H](C)N(C(=O)NCc1ccccc1)[C@H]2C,active,414.55300000000017,5.071520000000005,1.0,3.0,7.552841968657781
CHEMBL3916909,C[C@@H]1CN(Cc2ccccc2)c2nc(C(F)(F)F)ccc2[C@H](C)N1C(=O)NCc1ccccc1,active,468.52300000000014,5.781900000000006,1.0,3.0,6.982966660701219
CHEMBL3986638,C[C@@H]1CN(Cc2ccccc2)c2cnc(Cl)cc2[C@H](C)N1C(=O)NCc1ccccc1,active,434.9710000000002,5.4165000000000045,1.0,3.0,6.649751981665837
CHEMBL3933865,C[C@@H]1CN(Cc2ccccc2)c2cncc(F)c2[C@H](C)N1C(=O)NCc1ccccc1,active,418.51600000000013,4.902200000000004,1.0,3.0,7.142667503568732
CHEMBL3961356,C[C@@H]1CN(Cc2ccccc2)c2nnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,401.5140000000001,4.158100000000003,1.0,4.0,6.158015195409886
CHEMBL3951580,C[C@@H]1CN(Cc2ccccc2)c2cnccc2[C@H](C)N1C(=O)CCc1ccc(F)cc1,active,417.5280000000002,5.151800000000005,0.0,3.0,6.647817481888637
CHEMBL3980491,[2H]C([2H])(c1ccccc1)N1C[C@@H](C)N(C(=O)NCc2ccccc2)[C@@H](C)c2ccncc21,active,402.5382035560001,4.763100000000004,1.0,3.0,6.638272163982407
CHEMBL3942836,C[C@@H]1CN(Cc2cccc(F)c2F)c2cnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,436.50600000000014,5.041300000000004,1.0,3.0,7.142667503568732
CHEMBL3972450,C[C@@H]1CN(Cc2ccccc2F)c2cnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,418.51600000000013,4.902200000000004,1.0,3.0,7.022276394711152
CHEMBL3956823,COc1ccc(CNC(=O)N2[C@H](C)CN(Cc3ccccc3)c3cnccc3[C@@H]2C)cc1,active,430.5520000000001,4.7717000000000045,1.0,4.0,7.318758762624412
CHEMBL3926060,C[C@@H]1CN(Cc2ccc(C(F)(F)F)o2)c2cnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,458.48400000000015,5.374900000000005,1.0,4.0,7.356547323513812
CHEMBL3938021,COc1ccc(CNC(=O)N2[C@H](C)CN(Cc3ccc(C(F)(F)F)o3)c3cnccc3[C@@H]2C)cc1,active,488.5100000000001,5.383500000000005,1.0,5.0,7.619788758288394
CHEMBL3910085,COc1ccc(CNC(=O)N2[C@H](C)CN(CCC(C)C)c3cnccc3[C@@H]2C)cc1,active,410.5620000000001,4.617600000000004,1.0,4.0,7.259637310505756
CHEMBL3917185,C[C@@H]1CN(Cc2ccccc2)c2cnccc2[C@H](C)N1C(=O)Nc1cccnc1,active,387.4870000000001,4.480400000000003,1.0,4.0,6.0655015487564325
CHEMBL3919009,[2H]C([2H])(c1ccccc1)N1C[C@@H](C)N(C(=O)Nc2cccnc2)[C@@H](C)c2ccncc21,active,389.4992035560001,4.480400000000003,1.0,4.0,6.088842391260023
CHEMBL3898062,C[C@@H]1CN(Cc2ccccc2)c2cncc(F)c2[C@H](C)N1C(=O)Nc1cccnc1,active,405.4770000000001,4.619500000000004,1.0,4.0,6.619788758288394
CHEMBL3927924,CC(C)CCN1C[C@@H](C)N(C(=O)Nc2cccnc2)[C@@H](C)c2ccncc21,active,367.4970000000001,4.326300000000003,1.0,4.0,6.218963061378868
CHEMBL3895005,C[C@@H]1CN(Cc2ccccc2)c2cnccc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000004,1.0,3.0,6.991399828238082
